Branch,FromBus,ToBus,R,X,impedance,capacity,load_ratio,failure_prob,distance,failure_rate,status
1,1,2,0.0922,0.047,0.10348835683302736,24.157306932929753,0.649816047538945,0.37490802376947246,0.08548351845338888,0.03528410587186427,1
2,2,3,0.493,0.2511,0.5532632375280324,4.51864470730053,0.8802857225639664,0.4901428612819832,0.652603983776148,0.058842647484242366,1
3,3,4,0.366,0.1864,0.41073222420452965,6.086690677464574,0.7927975767245621,0.44639878836228103,0.48723225644676593,0.02268318024772864,1
4,4,5,0.3811,0.1941,0.4276821483298081,5.845462593571053,0.7394633936788146,0.4197316968394073,0.4804405644824736,0.08219772826786358,1
5,5,6,0.819,0.707,1.0819473184956834,2.310648547542913,0.5624074561769746,0.3312037280884873,0.9973882750901433,0.016709557931179377,1
6,6,7,0.1872,0.6188,0.6464961562144047,3.8669990161100003,0.562397808134481,0.3311989040672405,0.5424547834813087,0.09881982429404657,1
7,7,8,0.7114,0.2351,0.7492409292076883,3.3367103992085894,0.5232334448672797,0.31161672243363986,0.8044548987975735,0.07950202923669918,1
8,8,9,1.03,0.74,1.2682665335015348,1.9711944878792897,0.846470458309974,0.473235229154987,1.2379054977800998,0.027884411338075517,1
9,9,10,1.044,0.74,1.279662455493635,1.953640187900656,0.7404460046972835,0.42022300234864174,1.0861970633011395,0.010496990541124216,1
10,10,11,0.1966,0.065,0.20706655934747165,12.073412567815122,0.7832290311184182,0.4416145155592091,0.20666707909599852,0.08339152856093508,1
11,11,12,0.3744,0.1238,0.39433716538008434,6.3397524237675125,0.508233797718321,0.3041168988591605,0.32089400107934285,0.07361716094628554,1
12,12,13,1.468,1.155,1.8678996225707634,1.338401683790313,0.8879639408647977,0.49398197043239883,2.1737273923921516,0.07561064512368885,1
13,13,14,0.5416,0.7129,0.8952971406186887,2.792369020940235,0.8329770563201687,0.46648852816008435,0.8089117035252918,0.07941433120173512,1
14,14,15,0.591,0.526,0.7911744434699594,3.15985939717089,0.5849356442713105,0.34246782213565524,0.8426078346200506,0.016664018656068133,1
15,15,16,0.7463,0.545,0.9241150848243956,2.70529075983546,0.5727299868828403,0.3363649934414201,0.8545148308679444,0.042261915568984544,1
16,16,17,1.289,1.721,2.150200455771508,1.162682294708649,0.5733618039413735,0.33668090197068673,2.1674605630846924,0.020428215357261678,1
17,17,18,0.732,0.574,0.9302150289046076,2.687550644009614,0.621696897183815,0.3608484485919075,0.947595270444388,0.08767930832880343,1
18,2,19,0.164,0.1565,0.22668976597985185,11.028287885842184,0.7099025726528951,0.40495128632644756,0.19811365808924736,0.06609683141448022,1
19,19,20,1.5042,1.3554,2.0247782100763527,1.2347031331919198,0.6727780074568463,0.38638900372842316,2.4051000989101503,0.03978082223673843,1
20,20,21,0.4095,0.4784,0.6297275680800388,3.969970709115038,0.6164916560792167,0.35824582803960836,0.6990310575817146,0.015720251525742128,1
21,21,22,0.7089,0.9373,1.1751895591775823,2.127316380984139,0.7447411578889518,0.4223705789444759,1.3817873861359158,0.0379884089544096,1
22,3,23,0.4512,0.3083,0.5464707951940342,4.574809892836689,0.5557975442608167,0.32789877213040836,0.6327754416550545,0.039266498982407236,1
23,23,24,0.898,0.7091,1.144214494751749,2.184905025645917,0.6168578594140872,0.3584289297070436,1.189021924668362,0.07566455605042577,1
24,24,25,0.896,0.7011,1.1376982069072623,2.1974193022559483,0.6465447373174766,0.3732723686587383,1.3296844311977316,0.06738017242196918,1
25,6,26,0.203,0.1034,0.22781694405816263,10.97372282968443,0.6824279936868144,0.3912139968434072,0.1903175918023417,0.0898491468318694,1
26,26,27,0.2842,0.1447,0.3189164937722726,7.839042661070909,0.8140703845572055,0.45703519227860273,0.28013406194668505,0.05249934326457544,1
27,27,28,1.059,0.9337,1.4118345122570137,1.7707457767152912,0.5798695128633439,0.3399347564316719,1.1550089887574977,0.020763482134447155,1
28,28,29,0.8042,0.7006,1.0665730167222496,2.3439557918715233,0.7056937753654446,0.4028468876827223,0.9920538343031685,0.07419203085006955,1
29,29,30,0.5075,0.2585,0.5695423601454065,4.3894891318737725,0.736965827544817,0.4184829137724085,0.5441811604781922,0.07847065437552077,1
30,30,31,0.9744,0.963,1.3699723938824462,1.8248542898847044,0.5185801650879991,0.30929008254399953,1.2446741881607442,0.06051494778125467,1
31,31,32,0.3105,0.3619,0.47684574025569315,5.242785641032372,0.7430179407605754,0.4215089703802877,0.539548572616239,0.0793870461959105,1
32,32,33,0.341,0.5302,0.6303911801413469,3.9657915255721816,0.5682096494749166,0.3341048247374583,0.5942706043665668,0.05444160367279517,1
T1,8,21,0.5,0.3,0.58309518948453,4.287464628562722,0.3568198488145982,0.22840992440729913,0.4916405404141909,0.022574239243053067,0
T2,9,15,0.6,0.35,0.6946221994724903,3.5990787537434725,0.32826230550756486,0.21413115275378242,0.5644303236137317,0.030342827646588112,0
T3,12,22,0.4,0.25,0.47169905660283024,5.2999894000318,0.20762573802322856,0.15381286901161428,0.49743692152440194,0.046302658957043726,0
